Commit by Juan Carlos Vega Abarca on Wed, 29 Oct 2014 22:43:55 -0600: first commit
Commit by Juan Carlos Vega Abarca on Thu, 30 Oct 2014 00:12:12 -0600: Header, Footer and video Banner
Commit by Juan Carlos Vega Abarca on Thu, 30 Oct 2014 00:27:59 -0600: Add word to cloud form
Commit by Juan Carlos Vega Abarca on Thu, 30 Oct 2014 01:25:05 -0600: Adding base sections structure
Commit by Juan Carlos Vega Abarca on Thu, 30 Oct 2014 01:29:11 -0600: Create README.md
Commit by Juan Carlos Vega Abarca on Thu, 30 Oct 2014 01:31:15 -0600: Merge branch 'master' of https://github.com/juanvegab/innovopor
Commit by Juan Carlos Vega Abarca on Thu, 30 Oct 2014 01:33:05 -0600: test
Commit by Juan Carlos Vega Abarca on Thu, 30 Oct 2014 01:37:16 -0600: Merge branch 'master' of https://github.com/juanvegab/innovopor
